id,prediction
0,3.706333
1,4.3820977
2,2.8646264
3,2.8646264
4,3.706333
5,4.3820977
6,4.3820977
7,2.8646264
8,3.706333
9,15.446932
10,12.104722
11,22.392584
12,65.754395
13,65.21261
14,465.47122
15,1109.9221
16,120.11109
17,119.066536
18,235.5016
19,232.12263
20,1798.8075
21,2618.981
22,295.90634
23,294.515
24,421.07748
25,421.07748
26,3054.0293
27,3221.0627
28,473.8907
29,476.67334
30,485.1718
31,480.79065
32,3359.3977
33,469.09268
34,2838.4868
35,469.09268
36,2420.823
37,423.19492
38,423.19492
39,2264.9714
40,418.33902
41,434.1419
42,363.61996
43,2332.7085
44,375.3396
45,252.91728
46,1617.3009
47,261.43652
48,171.07614
49,176.47906
50,843.20715
51,117.538025
52,618.21063
53,116.9037
54,43.88214
55,300.2093
56,43.270096
57,23.880964
58,135.16922
59,11.663136
60,3.7060602
61,6.084134
62,6.9912815
63,4.2205744
64,2.777114
65,3.3789642
66,3.3789642
67,2.777114
68,4.2205744
69,4.2257104
70,2.7822502
71,3.3841007
72,3.706333
73,2.9735734
74,4.491045
75,4.491045
76,2.9735734
77,3.706333
78,3.706333
79,4.4296384
80,2.9735734
81,19.389116
82,21.345615
83,88.19705
84,77.7836
85,529.07104
86,77.1771
87,1169.5087
88,130.7213
89,126.91233
90,1841.8381
91,234.28871
92,234.28871
93,1873.5414
94,285.1468
95,283.11783
96,2765.8079
97,395.7108
98,396.6367
99,484.14288
100,481.80182
101,3419.0261
102,3593.7722
103,501.30438
104,502.03015
105,488.84592
106,2884.4272
107,488.84592
108,488.5847
109,2884.4272
110,488.84592
111,476.76398
112,2875.4597
113,477.0252
114,466.21042
115,464.44507
116,2836.0903
117,2332.9995
118,331.64984
119,335.86096
120,301.2826
121,298.8024
122,1458.877
123,751.60864
124,163.3102
125,163.45299
126,46.268887
127,46.268887
128,398.10468
129,27.47821
130,11.824122
131,180.93527
132,8.650609
133,8.107315
134,4.7769284
135,4.3295217
136,2.8860607
137,3.3988662
138,4.3295217
139,2.8860607
140,3.3988662
141,3.3789642
142,4.3295217
143,2.8860607
144,3.706333
145,4.4296384
146,2.9121668
147,3.706333
148,4.4296384
149,2.9121668
150,5.1971955
151,8.556425
152,7.979338
153,387.4552
154,54.955032
155,56.973557
156,80.323235
157,1066.571
158,80.92973
159,203.7623
160,1751.7601
161,203.7623
162,351.94415
163,2726.8777
164,352.08698
165,479.90253
166,3735.3733
167,479.90253
168,4267.3667
169,575.96826
170,575.96826
171,703.5081
172,4574.1895
173,701.0306
174,861.1851
175,4547.6196
176,861.1851
177,782.25287
178,730.49207
179,4547.6196
180,621.88477
181,604.8468
182,3709.306
183,572.01587
184,3414.8613
185,571.2189
186,2923.9436
187,572.3104
188,565.1599
189,393.04666
190,391.7148
191,2155.532
192,1392.6814
193,252.19308
194,252.19308
195,139.12282
196,139.12282
197,679.91907
198,605.48444
199,109.15769
200,109.15769
201,30.298895
202,30.446129
203,190.92018
204,39.972744
205,13.1752615
206,11.574442
207,3.1860008
208,4.8569703
209,3.3789642
210,3.3789642
211,4.627776
212,2.9098177
213,2.9098177
214,3.3789642
215,4.43838
216,4.4892955
217,3.76599
218,2.971824
219,3.76599
220,2.971824
221,4.4892955
222,11.642705
223,21.93436
224,15.036249
225,35.415356
226,36.287823
227,183.75378
228,67.68443
229,487.82535
230,67.97787
231,125.49718
232,1119.5646
233,125.49718
234,281.91556
235,2571.6484
236,281.91556
237,426.41296
238,3637.529
239,426.41296
240,576.8777
241,577.2422
242,4229.598
243,603.55273
244,603.51636
245,4159.0977
246,533.7462
247,580.7773
248,3608.8826
249,3514.262
250,527.84924
251,529.44244
252,514.71826
253,515.60535
254,2863.681
255,2686.4524
256,450.9744
257,445.34015
258,476.19385
259,485.30878
260,2761.221
261,445.0602
262,2439.0576
263,443.96085
264,1690.1996
265,315.09613
266,315.09613
267,969.6676
268,203.69382
269,203.5831
270,108.79865
271,108.79865
272,539.3882
273,150.62311
274,26.801144
275,27.818737
276,10.836622
277,39.992645
278,12.780519
279,3.8150072
280,6.1040354
281,7.100228
282,2.8860607
283,3.3988662
284,4.3295217
285,4.3295217
286,3.3789642
287,2.8860607
288,2.9121668
289,3.706333
290,4.4296384
291,4.4296384
292,2.9121668
293,3.706333
294,22.392584
295,12.152263
296,15.4944725
297,55.425095
298,58.657745
299,381.3746
300,634.99615
301,79.63935
302,79.65078
303,201.20619
304,133.66269
305,1169.5087
306,281.91556
307,283.3069
308,2610.6755
309,425.213
310,425.2187
311,3720.0378
312,4267.3667
313,584.18787
314,584.18787
315,4241.8706
316,609.996
317,611.5697
318,4270.92
319,731.85034
320,729.6571
321,784.81573
322,782.25287
323,4527.8184
324,4534.832
325,815.4295
326,815.4295
327,731.39795
328,732.557
329,4312.454
330,3528.9077
331,606.2207
332,601.3954
333,554.24194
334,2741.6116
335,554.24194
336,327.30338
337,2188.8298
338,321.3731
339,210.81403
340,1077.165
341,210.3397
342,110.758415
343,615.887
344,110.26952
345,31.660963
346,198.21721
347,31.629988
348,19.817863
349,11.741013
350,68.99418
351,6.084134
352,4.1149473
353,7.4460225
354,2.8246543
355,4.2681146
356,3.3789642
357,4.2681146
358,2.8246543
359,3.3789642
360,4.4296384
361,3.706333
362,2.9121668
363,4.4296384
364,2.9121668
365,3.706333
366,15.731157
367,12.388948
368,27.8878
369,477.7215
370,63.642403
371,65.69296
372,86.23476
373,84.99049
374,1080.2429
375,1887.2379
376,217.65648
377,217.51372
378,2796.4038
379,388.7439
380,386.26367
381,3727.0906
382,483.07935
383,483.07935
384,584.18787
385,4141.862
386,581.28015
387,570.179
388,3729.8118
389,571.86066
390,494.03253
391,2856.7578
392,489.98834
393,486.61078
394,2764.837
395,486.61078
396,2764.837
397,486.61078
398,486.61078
399,479.33768
400,2784.353
401,478.6442
402,487.38074
403,487.38074
404,2818.44
405,519.144
406,2475.6406
407,452.56076
408,265.57483
409,1601.0698
410,266.90665
411,204.90433
412,203.8833
413,966.93207
414,110.758415
415,110.758415
416,613.6951
417,33.50855
418,33.50855
419,219.13101
420,68.99418
421,11.379667
422,19.723446
423,7.0388217
424,3.7536006
425,6.084134
426,3.3789642
427,4.2681146
428,2.8246543
429,2.8246543
430,4.2681146
431,3.3789642
432,3.706333
433,4.4296384
434,2.9121668
435,3.6438782
436,6.684715
437,5.9614086
438,16.560337
439,35.00283
440,13.266884
441,477.7215
442,65.3424
443,64.438736
